Name	source_pop	Infected_pop	ratio_of_source	ratio_of_infected
Luquan district	3705	17459	0.052928571	0.052812439
Shenze district	1113	2284	0.0159	0.006908964
Luancheng  district	2266	9907	0.032371429	0.029968087
Yuhua district	9500	64897	0.135714286	0.196309572
Changan district	7029	49474	0.100414286	0.149655913
Jinzhou district 	2653	6594	0.0379	0.019946459
Xingtang district 	1687	2340	0.0241	0.007078361
Qiaoxi district 	8184	55073	0.116914286	0.166592556
Yuanshi district 	1759	4218	0.025128571	0.0127592
Xinhua district 	5876	36814	0.083942857	0.111360165
Gaocheng district 	4574	16062	0.065342857	0.048586596
Lingshou district 	1544	3494	0.022057143	0.010569143
Zanhuang district 	1161	2212	0.016585714	0.006691169
Wuji district 	2156	5239	0.0308	0.015847664
Jingxingkuang district 	483	1119	0.0069	0.003384909
Xinle district 	2188	6536	0.031257143	0.019771012
Jingxing district 	1131	2773	0.016157143	0.00838816
Zhao district 	1814	3816	0.025914286	0.011543173
Gaoyi district 	874	2060	0.012485714	0.006231378
Zhengding district 	4373	19348	0.062471429	0.058526551
Xinji district 	4100	14337	0.058571429	0.043368574
Pingshan district 	1830	4529	0.026142857	0.013699956
