Time	Outside	Home
0	0.802999995	17.36
0.01	0.781999995	13.915
0.02	0.732	11.461
0.03	0.781999995	9.298
0.04	0.712999995	7.733
0.05	0.699	6.258
0.06	0.712999995	5.313
0.07	0.708	4.385
0.08	0.712999995	3.51
0.09	0.685999995	3.11
0.1	0.739999995	2.5
0.11	0.622000005	2.056
0.12	0.679000005	1.77
0.14	0.676999995	1.453
0.15	0.666	1.241
0.16	0.702	1.045
0.17	0.643999995	0.935
0.18	0.646000005	0.779
0.19	0.678	0.692
0.2	0.709999995	0.63
0.21	0.691999995	0.6
0.22	0.687	0.569
0.23	0.700999995	0.626
0.24	0.760999995	0.65
0.25	0.841999995	0.661
0.26	0.919999995	0.698
0.27	1.006000005	0.736
0.28	1.228999995	0.756
0.29	1.473	0.885
0.3	1.966000005	0.876
0.31	2.665999995	0.858
0.32	3.673999995	0.915
0.33	4.603999995	0.851
0.34	5.37	0.8
0.35	6.133999995	0.702
0.36	6.955999995	0.706
0.38	7.408000005	0.677
0.39	7.753999995	0.597
0.4	8.227999995	0.624
0.41	8.545000005	0.607
0.42	8.506999995	0.605
0.43	8.617999995	0.549
0.44	8.626999995	0.575
0.45	8.650000005	0.536
0.46	8.349	0.556
0.47	8.398999995	0.564
0.48	7.990999995	0.653
0.49	7.756999995	0.692
0.5	7.329	0.839
0.51	7.243000005	0.857
0.52	6.637000005	0.823
0.53	6.451999995	0.771
0.54	6.316999995	0.693
0.55	6.3	0.676
0.56	6.352000005	0.567
0.57	6.586999995	0.506
0.58	6.940999995	0.482
0.59	7.159999995	0.408
0.6	7.420999995	0.415
0.61	7.638	0.375
0.62	7.551	0.343
0.64	7.390999995	0.317
0.65	7.498000005	0.287
0.66	7.573999995	0.294
0.67	7.542	0.299
0.68	7.405999995	0.303
0.69	7.257	0.313
0.7	7.057999995	0.332
0.71	6.903	0.358
0.72	6.663	0.356
0.73	6.379000005	0.385
0.74	6.046000005	0.457
0.75	5.605000005	0.59
0.76	5.470999995	0.669
0.77	4.953	0.78
0.78	4.840999995	0.758
0.79	4.525999995	0.791
0.8	4.272	0.832
0.81	4.077	0.909
0.82	3.907000005	0.936
0.83	3.460000005	0.86
0.84	3.174	0.864
0.85	2.913	0.842
0.86	2.620000005	0.891
0.88	2.386999995	0.911
0.89	2.014999995	0.9
0.9	1.833	0.88
0.91	1.59	0.898
0.92	1.392	0.871
0.93	1.243999995	0.87
0.94	1.141000005	0.778
0.95	1.072999995	0.774
0.96	0.961999995	0.688
0.97	1.000000005	0.636
0.98	0.895999995	0.601
0.99	0.838999995	0.523
1	0.802000005	0.513
1.01	0.856000005	0.464
1.02	0.802999995	0.418
1.03	0.777	0.35
1.04	0.786	0.338
1.05	0.751999995	0.328
1.06	0.751000005	0.291
1.07	0.739000005	0.277
1.08	0.748000005	0.227
1.09	0.744	0.183
1.1	0.736999995	0.169
1.11	0.772000005	0.18
1.12	0.808000005	0.121
1.14	0.730999995	0.138
1.15	0.700999995	0.139
1.16	0.814999995	0.122
1.17	0.787000005	0.106
1.18	0.814999995	0.096
1.19	0.769000005	0.085
1.2	0.741	0.076
1.21	0.748999995	0.087
1.22	0.778000005	0.087
1.23	0.799000005	0.079
1.24	0.838999995	0.094
1.25	0.961000005	0.112
1.26	0.997999995	0.116
1.27	1.051999995	0.126
1.28	1.215	0.145
1.29	1.467	0.159
1.3	1.993000005	0.131
1.31	2.616	0.117
1.32	3.537	0.13
1.33	4.534999995	0.094
1.34	5.332999995	0.118
1.35	5.923000005	0.089
1.36	6.445000005	0.059
1.38	7.180000005	0.073
1.39	7.566	0.074
1.4	7.851	0.061
1.41	8.407000005	0.079
1.42	8.314000005	0.069
1.43	8.377000005	0.089
1.44	8.409	0.058
1.45	8.362999995	0.066
1.46	8.28	0.097
1.47	8.128999995	0.066
1.48	7.846999995	0.078
1.49	7.549000005	0.095
1.5	7.357999995	0.098
1.51	6.798	0.126
1.52	6.669	0.11
1.53	6.343000005	0.1
1.54	6.36	0.128
1.55	6.162	0.098
1.56	6.291	0.085
1.57	6.627	0.08
1.58	6.894	0.095
1.59	7.155	0.074
1.6	7.453000005	0.043
1.61	7.696999995	0.065
1.62	8.01	0.048
1.64	7.957000005	0.051
1.65	8.092999995	0.052
1.66	8.052	0.048
1.67	8.278999995	0.049
1.68	7.944	0.059
1.69	7.791	0.057
1.7	7.738000005	0.071
1.71	9.391999995	0.144
1.72	10.491	0.176
1.73	11.51500001	0.241
1.74	11.793	0.315
1.75	11.89900001	0.343
1.76	12.012	0.416
1.77	11.82700001	0.469
1.78	11.811	0.497
1.79	11.75800001	0.596
1.8	11.96500001	0.614
1.81	11.495	0.679
1.82	11.61700001	0.732
1.83	11.44900001	0.766
1.84	10.853	0.817
1.85	10.394	0.838
1.86	9.547999995	0.844
1.88	8.698999995	0.913
1.89	7.681000005	1.002
1.9	6.642	1.066
1.91	5.692999995	1.24
1.92	4.810999995	1.257
1.93	4.222999995	1.335
1.94	3.844000005	1.348
1.95	3.474	1.423
1.96	3.337000005	1.366
1.97	3.157000005	1.412
1.98	2.937	1.372
1.99	2.82	1.34
2	2.782999995	1.578
2.01	2.794000005	1.756
2.02	2.761000005	2.09
2.03	2.776000005	2.499
2.04	2.782999995	3.314
2.05	2.866000005	3.859
2.06	3.019000005	4.715
2.07	3.127000005	5.45
2.08	3.211999995	6.252
2.09	3.228	6.888
2.1	3.492	7.791
2.11	3.601999995	8.21
2.12	3.759	8.735
2.14	3.841000005	9.299
2.15	4.038	9.661
2.16	4.197	9.976
2.17	4.314	9.836
2.18	4.351000005	9.846
2.19	4.576999995	10.071
2.2	4.695	10.047
2.21	4.849999995	9.948
2.22	5.341000005	9.703
2.23	5.602999995	9.393
2.24	6.094999995	9.015
2.25	6.880000005	8.814
2.26	7.543999995	8.734
2.27	8.902000005	8.206
2.28	10.599	8.1
2.29	13.563	7.389
2.3	18.381	6.709
2.31	25.81000001	5.934
2.32	38.046	5.108
2.33	49.706	4.309
2.34	59.83600001	3.785
2.35	70.57000001	3.312
2.36	79.655	2.986
2.38	87.93	2.821
2.39	95.099	2.598
2.4	99.032	2.535
2.41	104.95	2.502
2.42	106.751	2.368
2.43	108.631	2.462
2.44	109.683	2.379
2.45	110.201	2.444
2.46	110.478	2.485
2.47	109.909	2.747
2.48	106.479	3.163
2.49	103.548	3.901
2.5	99.372	4.781
2.51	95.069	5.627
2.52	92.745	5.746
2.53	92.379	5.538
2.54	91.32100001	5.213
2.55	91.115	4.756
2.56	91.93300001	4.305
2.57	95.91400001	3.776
2.58	99.168	3.221
2.59	102.58	2.951
2.6	105.528	2.629
2.61	108.105	2.373
2.62	108.838	2.286
2.64	110.308	2.072
2.65	111.083	1.962
2.66	110.808	1.919
2.67	110.345	1.888
2.68	110.176	1.853
2.69	109.106	1.912
2.7	107.452	2.015
2.71	105.429	2.188
2.72	102.39	2.497
2.73	99.536	2.798
