Time	Outside	Home
0	2.97E-06	0.00028955
0.01	2.89E-06	0.000232091
0.02	2.71E-06	0.00019116
0.03	2.89E-06	0.000155083
0.04	2.64E-06	0.00012898
0.05	2.58E-06	0.000104378
0.06	2.64E-06	8.86E-05
0.07	2.62E-06	7.31E-05
0.08	2.64E-06	5.85E-05
0.09	2.54E-06	5.19E-05
0.1	2.74E-06	4.17E-05
0.11	2.30E-06	3.43E-05
0.12	2.51E-06	2.95E-05
0.14	2.50E-06	2.42E-05
0.15	2.46E-06	2.07E-05
0.16	2.59E-06	1.74E-05
0.17	2.38E-06	1.56E-05
0.18	2.39E-06	1.30E-05
0.19	2.51E-06	1.15E-05
0.2	2.62E-06	1.05E-05
0.21	2.56E-06	1.00E-05
0.22	2.54E-06	9.49E-06
0.23	2.59E-06	1.04E-05
0.24	2.81E-06	1.08E-05
0.25	3.11E-06	1.10E-05
0.26	3.40E-06	1.16E-05
0.27	3.72E-06	1.23E-05
0.28	4.54E-06	1.26E-05
0.29	5.44E-06	1.48E-05
0.3	7.27E-06	1.46E-05
0.31	9.85E-06	1.43E-05
0.32	1.36E-05	1.53E-05
0.33	1.70E-05	1.42E-05
0.34	1.98E-05	1.33E-05
0.35	2.27E-05	1.17E-05
0.36	2.57E-05	1.18E-05
0.38	2.74E-05	1.13E-05
0.39	2.87E-05	9.96E-06
0.4	3.04E-05	1.04E-05
0.41	3.16E-05	1.01E-05
0.42	3.14E-05	1.01E-05
0.43	3.19E-05	9.16E-06
0.44	3.19E-05	9.59E-06
0.45	3.20E-05	8.94E-06
0.46	3.09E-05	9.27E-06
0.47	3.10E-05	9.41E-06
0.48	2.95E-05	1.09E-05
0.49	2.87E-05	1.15E-05
0.5	2.71E-05	1.40E-05
0.51	2.68E-05	1.43E-05
0.52	2.45E-05	1.37E-05
0.53	2.38E-05	1.29E-05
0.54	2.33E-05	1.16E-05
0.55	2.33E-05	1.13E-05
0.56	2.35E-05	9.46E-06
0.57	2.43E-05	8.44E-06
0.58	2.57E-05	8.04E-06
0.59	2.65E-05	6.81E-06
0.6	2.74E-05	6.92E-06
0.61	2.82E-05	6.25E-06
0.62	2.79E-05	5.72E-06
0.64	2.73E-05	5.29E-06
0.65	2.77E-05	4.79E-06
0.66	2.80E-05	4.90E-06
0.67	2.79E-05	4.99E-06
0.68	2.74E-05	5.05E-06
0.69	2.68E-05	5.22E-06
0.7	2.61E-05	5.54E-06
0.71	2.55E-05	5.97E-06
0.72	2.46E-05	5.94E-06
0.73	2.36E-05	6.42E-06
0.74	2.23E-05	7.62E-06
0.75	2.07E-05	9.84E-06
0.76	2.02E-05	1.12E-05
0.77	1.83E-05	1.30E-05
0.78	1.79E-05	1.26E-05
0.79	1.67E-05	1.32E-05
0.8	1.58E-05	1.39E-05
0.81	1.51E-05	1.52E-05
0.82	1.44E-05	1.56E-05
0.83	1.28E-05	1.43E-05
0.84	1.17E-05	1.44E-05
0.85	1.08E-05	1.40E-05
0.86	9.68E-06	1.49E-05
